"","file","shortName","group","exp","genotype","mouse","treatment","treatTime","stimulus","stimTime","seq_num"
"38","GO-Jan20-40","gso30.IFNAR.N.N.24.3","gso30.IFNAR.N.N.24","gso30","IFNAR",3,"N",0,"N",24,"GO02"
"39","GO-Jan20-41","gso30.IFNAR.N.Rv.4.3","gso30.IFNAR.N.Rv.4","gso30","IFNAR",3,"N",0,"Rv",4,"GO02"
"40","GO-Jan20-42","gso30.IFNAR.N.Rv.24.3","gso30.IFNAR.N.Rv.24","gso30","IFNAR",3,"N",0,"Rv",24,"GO02"
"41","GO-Jan20-43","gso30.IFNAR.N.HK.4.3","gso30.IFNAR.N.HK.4","gso30","IFNAR",3,"N",0,"HK",4,"GO02"
"42","GO-Jan20-44","gso30.IFNAR.N.HK.24.3","gso30.IFNAR.N.HK.24","gso30","IFNAR",3,"N",0,"HK",24,"GO02"
"43","GO-Jan20-45","gso30.IFNAR.N.N.4.4","gso30.IFNAR.N.N.4","gso30","IFNAR",4,"N",0,"N",4,"GO02"
"44","GO-Jan20-46","gso30.IFNAR.N.N.24.4","gso30.IFNAR.N.N.24","gso30","IFNAR",4,"N",0,"N",24,"GO02"
"45","GO-Jan20-47","gso30.IFNAR.N.Rv.4.4","gso30.IFNAR.N.Rv.4","gso30","IFNAR",4,"N",0,"Rv",4,"GO02"
"46","GO-Jan20-48","gso30.IFNAR.N.Rv.24.4","gso30.IFNAR.N.Rv.24","gso30","IFNAR",4,"N",0,"Rv",24,"GO02"
"47","GO-Jan20-49","gso30.IFNAR.N.HK.4.4","gso30.IFNAR.N.HK.4","gso30","IFNAR",4,"N",0,"HK",4,"GO02"
"48","GO-Jan20-50","gso30.IFNAR.N.HK.24.4","gso30.IFNAR.N.HK.24","gso30","IFNAR",4,"N",0,"HK",24,"GO02"
"49","AA-082019-01","gso32.Bl6.N.N.4.1","gso32.Bl6.N.N.4","gso32","Bl6",1,"N",0,"N",4,"GO01"
"50","AA-082019-02","gso32.Bl6.IFNb.N.4.1","gso32.Bl6.IFNb.N.4","gso32","Bl6",1,"IFNb",4,"N",4,"GO01"
"51","AA-082019-03","gso32.Bl6.N.Rv.4.1","gso32.Bl6.N.Rv.4","gso32","Bl6",1,"N",0,"Rv",4,"GO01"
"52","AA-082019-04","gso32.Bl6.IFNb.Rv.4.1","gso32.Bl6.IFNb.Rv.4","gso32","Bl6",1,"IFNb",4,"Rv",4,"GO01"
"53","AA-082019-05","gso32.Bl6.N.HK.4.1","gso32.Bl6.N.HK.4","gso32","Bl6",1,"N",0,"HK",4,"GO01"
"54","AA-082019-06","gso32.Bl6.IFNb.HK.4.1","gso32.Bl6.IFNb.HK.4","gso32","Bl6",1,"IFNb",4,"HK",4,"GO01"
"55","AA-082019-07","gso32.Bl6.N.N.4.2","gso32.Bl6.N.N.4","gso32","Bl6",2,"N",0,"N",4,"GO01"
"56","AA-082019-08","gso32.Bl6.IFNb.N.4.2","gso32.Bl6.IFNb.N.4","gso32","Bl6",2,"IFNb",4,"N",4,"GO01"
"57","AA-082019-09","gso32.Bl6.N.Rv.4.2","gso32.Bl6.N.Rv.4","gso32","Bl6",2,"N",0,"Rv",4,"GO01"
